ask,bid,due,emittent,ratio,strike,wkn,wkn_link,yr,yr2,yr4
2.01,1.99,20.03.2020,DZ Bank AG,1.0,11.0,DD5W42,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD5W42,13.01,15.02,19.04

0.14,0.13,14.01.2019,UBS,0.1,11.0,UV5277,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5277,12.4,13.8,16.6

1.3,1.26,21.12.2018,BNP Paribas,1.0,11.0,PP56DH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP56DH,12.3,13.6,16.2

1.29,1.25,18.12.2018,BNP Paribas,1.0,11.0,PP56DF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP56DF,12.29,13.58,16.16

0.27,0.25,16.12.2020,HSBC,0.112,10.71,TD6B07,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6B07,13.120714285714287,15.531428571428574,20.352857142857147

0.14,0.13,11.02.2019,UBS,0.1,11.0,UV6MLH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6MLH,12.4,13.8,16.6

0.16,0.15,10.12.2018,UBS,0.112,10.71,UW19UF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW19UF,12.13857142857143,13.567142857142859,16.424285714285716

0.24,0.22,18.12.2019,HSBC,0.112,10.71,TD6JAJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6JAJ,12.852857142857143,14.995714285714286,19.28142857142857

1.8,1.78,19.06.2019,HypoVereinsbank/UniCredit,1.0,10.6,HX15R5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX15R5,12.4,14.2,17.8

0.0,1.68,19.12.2018,Commerzbank AG,1.1204,10.71,CD87V4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CD87V4,10.71,10.71,10.71

1.5,1.48,19.12.2018,HypoVereinsbank/UniCredit,1.0,10.6,HX15ES,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX15ES,12.1,13.6,16.6

1.74,1.7,15.03.2019,BNP Paribas,1.0,10.5,PP56DJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP56DJ,12.24,13.98,17.46

