ask,bid,due,emittent,ratio,strike,wkn,wkn_link
0.19,0.18,15.06.2020,UBS,0.1,15.0,UW9YQG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW9YQG
0.13,0.12,17.06.2019,CITI,0.1,15.0,CY7ZLH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY7ZLH
0.86,0.84,19.12.2018,Société Générale S.A.,1.0,15.0,SC4W0Z,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W0Z
1.79,1.77,19.06.2019,Société Générale S.A.,1.0,13.5,SC30Z5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC30Z5
1.4,1.32,17.12.2018,CITI,1.0,13.5,CY7ZL5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY7ZL5
0.18,0.17,15.06.2020,UBS,0.1,15.5,UW918P,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW918P
0.14,0.13,17.12.2018,UBS,0.1,13.5,UW7ALF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW7ALF
0.11,0.1,17.06.2019,CITI,0.1,15.6,CQ18QV,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ18QV
1.37,1.35,18.12.2019,HypoVereinsbank/UniCredit,1.0,15.6,HW8YC7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW8YC7
0.14,0.13,17.12.2018,CITI,0.1,13.5,CY7ZL6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY7ZL6
0.091,0.071,21.12.2018,BNP Paribas,0.112,15.53,PR10DM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PR10DM
0.086,0.066,21.12.2018,BNP Paribas,0.112,15.71,PR10DN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PR10DN
0.87,0.85,13.03.2019,Société Générale S.A.,1.0,15.7,SC2EVG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC2EVG
0.71,0.69,19.12.2018,HypoVereinsbank/UniCredit,1.0,15.5,HU93GW,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HU93GW
1.11,1.09,17.06.2019,CITI,1.0,15.6,CQ18QU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ18QU
1.05,1.03,19.06.2019,Société Générale S.A.,1.0,15.7,SC300R,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300R
0.072,0.062,17.12.2018,UBS,0.1,15.6,UW7ZPV,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW7ZPV
2.18,2.16,15.12.2021,HypoVereinsbank/UniCredit,1.0,16.0,HW3V46,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW3V46
0.073,0.053,21.12.2018,DZ Bank AG,0.112,16.07,DGK9LN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DGK9LN
0.13,0.12,16.12.2019,CITI,0.1,16.3,CQ18UN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ18UN
1.33,1.31,16.12.2019,CITI,1.0,16.1,CQ18UK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ18UK
0.52,0.5,17.12.2018,CITI,1.0,16.4,CQ18MT,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ18MT
1.18,1.16,18.09.2019,Société Générale S.A.,1.0,16.1,SC64S9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC64S9
0.13,0.12,16.12.2019,CITI,0.1,16.1,CQ18UJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ18UJ
0.06,0.05,17.12.2018,CITI,0.1,16.1,CQ18ML,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ18ML
0.51,0.47,18.12.2018,BNP Paribas,1.0,16.5,PP0BXP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP0BXP
1.26,1.24,18.12.2019,HypoVereinsbank/UniCredit,1.0,16.0,HW2RDH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW2RDH
0.6,0.56,18.12.2018,BNP Paribas,1.0,16.0,PP0BXN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP0BXN
0.68,0.66,13.03.2019,Société Générale S.A.,1.0,16.5,SC2EZ3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC2EZ3
0.5,0.48,17.12.2018,CITI,1.0,16.5,CY23VK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY23VK
0.077,0.057,21.12.2018,BNP Paribas,0.112,16.07,PR08VQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PR08VQ
0.089,0.079,17.06.2019,CITI,0.1,16.5,CY60MA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY60MA
0.85,0.83,19.06.2019,Société Générale S.A.,1.0,16.5,SC300Z,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300Z
0.057,0.047,17.12.2018,CITI,0.1,16.25,CY23VJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY23VJ
0.059,0.049,17.12.2018,UBS,0.1,16.2,UW6TQF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW6TQF
0.098,0.088,17.06.2019,CITI,0.1,16.1,CQ18R2,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ18R2
